HS코드,기간,수출중량,수출금액,수입중량,수입금액,무역수지
8515311010,2022.10,                   0.1,                   8,                   5.2,                 282,                -273
8515319010,2022.10,                   0.2,                  13,                   3.1,                 267,                -253
8424202010,2022.11,                   0.0,                  13,                   4.0,                 183,                -170
8427103000,2022.11,                  70.4,"               3,944",                   2.2,                 116,"               3,828"
8428701000,2022.11,                   0.0,                   0,                   5.7,                 246,                -246
8428702000,2022.11,                   0.9,                   4,                   2.1,                  57,                 -53
8428709000,2022.11,                   2.4,                 230,                   5.2,                 265,                 -34
8479501000,2022.11,                  18.0,                 201,                   6.8,"               1,267","              -1,066"
8479502000,2022.11,                   0.6,                  84,                   0.0,                   0,                  84
8479509000,2022.11,                 656.1,"              28,194",                 422.5,"              14,241","              13,953"
8479892010,2022.11,                 267.2,"               7,812",                  89.2,"               4,489","               3,323"
8479892090,2022.11,                  39.8,"               1,703",                   0.6,                  64,"               1,639"
8508111000,2022.11,                   4.3,                 254,                 209.9,"               8,444","              -8,190"
8508192000,2022.11,                   0.0,                   1,                   5.7,                  50,                 -50
8515211010,2022.11,                  23.5,"               1,085",                  58.7,                 272,                 813
8515212010,2022.11,                   0.1,                  10,                   0.0,                   0,                  10
8515219010,2022.11,                   0.2,                  44,                   4.4,                 532,                -488
8515311010,2022.11,                   2.8,                 123,                  26.7,                 498,                -375
8515319010,2022.11,                   0.0,                   0,                   1.9,                 355,                -355
8424202010,2022.12,                   0.0,                   0,                   8.8,                 315,                -315
8427103000,2022.12,                  16.7,"               1,194",                  23.9,"               1,746",                -552
8428701000,2022.12,                   0.0,                   0,                  13.9,                 389,                -389
8428702000,2022.12,                   5.7,                 564,                  10.1,                 722,                -158
8428709000,2022.12,                  42.8,"               2,087",                  22.0,"               1,349",                 737
8479501000,2022.12,                 132.2,"               1,223",                  15.1,"               2,078",                -856
8479502000,2022.12,                   0.1,                  42,                   0.0,                   0,                  42
8479509000,2022.12,                 318.6,"              17,260",                 584.2,"              17,772",                -512
8479892010,2022.12,                 235.8,"               9,738",                 120.7,"               7,825","               1,913"
8479892090,2022.12,                  24.4,                 663,                   0.1,                  39,                 625
8508111000,2022.12,                  10.0,                 514,                 304.2,"              11,073","             -10,559"
8508192000,2022.12,                   0.0,                   0,                  14.5,                 115,                -115
8515211010,2022.12,                  23.0,                 342,                  32.9,                 535,                -193
8515219010,2022.12,                   0.9,                  96,                   0.3,                  16,                  80
8515311010,2022.12,                  18.6,                 588,                   6.2,                 327,                 261
8515319010,2022.12,                   0.4,                  36,                   2.4,                 125,                 -89
8427103000,2023.01,                   0.1,                   4,                   0.5,                  24,                 -21
8428701000,2023.01,                   1.5,                 100,                   0.6,                  28,                  72
8428702000,2023.01,                   0.2,                  84,                   5.7,                 322,                -238
8428709000,2023.01,                  37.8,"               1,517",                  36.7,                 833,                 684
8479501000,2023.01,                   9.7,                  66,                  18.7,                 828,                -762
8479502000,2023.01,                   0.3,                  73,                   0.0,                   0,                  73
8479509000,2023.01,                 297.9,"              10,237",                 350.4,"              11,968","              -1,731"
8479892010,2023.01,                 276.6,"               8,835",                  82.4,"               3,812","               5,023"
8479892090,2023.01,                  13.6,                   3,                   0.8,                  31,                 -28
8508111000,2023.01,                  10.5,                 575,                 464.9,"              15,158","             -14,583"
8508192000,2023.01,                   0.0,                   0,                   1.1,                  18,                 -18
8515211010,2023.01,                  13.7,                 496,                   0.1,                  33,                 463
8515219010,2023.01,                   4.0,                  40,                   0.0,                   0,                  40
8515311010,2023.01,                   0.0,                  18,                   7.5,                 451,                -432
8515319010,2023.01,                   0.0,                   0,                   2.9,                 339,                -339
8424202010,2023.02,                   0.1,                  34,                   0.0,                   0,                  34
8427103000,2023.02,                  35.5,"               2,270",                   0.1,                   1,"               2,269"
8428701000,2023.02,                   0.0,                   0,                 102.9,                 240,                -240
8428702000,2023.02,                  11.4,                 346,                   9.6,                 302,                  44
8428709000,2023.02,                   6.7,                 642,                 140.7,"               8,417","              -7,775"
8479501000,2023.02,                   3.9,                 200,                   3.8,                 702,                -502
8479502000,2023.02,                   0.3,                  37,                   0.0,                   0,                  37
8479509000,2023.02,                 687.7,"              20,332",                 289.5,"               9,984","              10,348"
8479892010,2023.02,                 285.1,"               9,572",                 116.9,"               6,658","               2,914"
8479892090,2023.02,                  12.3,                   5,                   0.1,                  84,                 -79
8508111000,2023.02,                   2.0,                 117,                 284.7,"              11,304","             -11,187"
8508192000,2023.02,                   0.0,                   0,                   0.6,                  13,                 -13
